scenario_id,pack,category,difficulty,description,representative,contract_sha256,hidden_test_sha256
inventory_reservation_idempotency,product_workflows,inventory,medium,Inventory reservation should be idempotent and avoid partial stock mutation on failure.,1,dd80355eb30f7e7361ebe0362bc21ba306536fb0bc86daf37ad1c04a879b5b0a,20fdc9d2b58d9eb78969d8f7c7bd1fb3f372ebf3daf4adb464e16a38aa5706d1
logger_warn_migration,maintenance_value,mechanical-migration,easy,Deprecated logger.warn calls need a mechanical migration to logger.warning.,0,572970f231f0ad425c8e18c3c41b176b8a6e5795fe914202866ffaf63177c5de,9fa1dc4fac98a957c111fc256f530d2baf257f14a86c424ef7608097f1d0a5cf
markdown_slug_collision,product_workflows,docs-workflow,easy,Generated heading anchors need stable GitHub-style duplicate suffixes.,0,45f1f40c0f599a4c6a152c2c29f6e8066236286f12f5907b68c51dd0e63f9760,c87a3da66b412064be5027e54e981f6fb80e3f09d41b0d6474be1e7c4897bc5f
mutable_default_leak,ci_forensics,state-leak,easy,"A function uses a mutable default argument list, causing state to leak between consecutive test executions.",0,a833715ab5fe750b6ac171c3a7f7b1d4cd08bcbf519e7ab5d113af8026afec2f,0e4b460ed441105fd065af7d000e7ee006d975d4f51e21c48dec3d9f73c1d354
pagination_cursor_drift,ci_forensics,pagination,medium,A CRM API renamed its pagination field from next to next_cursor. The sync silently imports only the first page.,0,9f9562da93195c72ff18547f1b711f3539280945de6ae26382c873ec8a5d7a98,de26dc8c95dfe35788ca7ec49c1b226afe79bdca24139f25ce6ca24751b38b7a
regression_test_gap,maintenance_value,test-generation,easy,"The implementation is fixed, but a regression test for zero quantity is missing.",0,04aef0cc8d83278ff0064dd343f71d479c8ad965849bc7ced69a0c9f6fa9ecba,38d37f9a12fb331bd7a86ad03aa38ce75bbf4ae00f82e7569c9a1f339a207460
search_ranking_stability,product_workflows,search,medium,Search results should rank title matches ahead of body matches and break ties predictably.,0,1bc02e66a2ca93d9a011120b9dc3a968990e95b3b6826dd1a97a10373b1180bf,ed671fbed950f09d92b669ba2bb3f658a5f1f2e148db0d7047110de8af7f7223
silent_exception_swallower,product_workflows,error-handling,easy,A batch processing script crashes on malformed data because it doesn't handle exceptions per-item.,0,feddf7b60874b05ba7067a4f631e1c157eba70d7ba0c453865b747eebe007b7f,6be1178b2c7203059f92f84928cf75d9b9b42ae58daca190c85f27f3075bf3e8
stale_generated_schema,ci_forensics,generated-artifact,easy,"The source of truth changed, but the generated schema JSON was not regenerated.",1,cdcb0d70920ada26921d74c2cbf79337d1c8057e2370b9076e1316b603c17237,c826faf4f26261c2afa715ee972e8371db15c3ded4ce2acdc7d3c02c5b1fc270
support_sla_business_hours,product_workflows,support,hard,Support due dates should add hours inside weekday business windows.,1,b9dba73347e2d3638bb346acb71aedb737387ac8492f7758a45a95737680de2c,183d8eebb04333b12b2b34d750f658d2555cdefd005cc9faa2b38bd418b311c7
tenant_cache_leak,ci_forensics,isolation,medium,Feature flags are cached only by user id. Two tenants can share the same external user id and receive each other's plan features.,0,2d7b77e8d259e68fc0e6a21b815822df7fbb769cf2210fc75cabf5d7936df561,0cae3d28f83a8371237facb97329e5ee285c110555f12f4e7096fe59d95a20c3
timezone_ci_only,ci_forensics,environment-drift,medium,Invoice dates are grouped with the machine's local timezone instead of the account timezone.,0,2305b27875f6f66e9f331a266e7a28b61ab04f502ad2418d7f6383d9e8d44c85,dde1a81f554249a698c7a8319b19d77e45d9f29878cee65cd04886df1a061de7
utcnow_timezone_migration,maintenance_value,mechanical-migration,easy,Naive datetime.utcnow calls must become timezone-aware UTC timestamps.,0,4037f5d12de8bf3e74d6f2eaf386ea0bc7c1f3abda8df11dfbbf683a693fa76e,112759ca7ffaeeeaf7313018d156f71e32dc4f9f8e4e759d9fbe2cac2f4b64c6
webhook_signature_raw_body,product_workflows,webhooks,easy,Webhook verification should sign the exact raw request body with HMAC SHA-256.,0,38e4304cb7dbe4d3c064fb7e4493a6e016c51d24cb6ea443982bbe56aef1b215,688aa83c42a1843e4b0bbcf3f6c2c7af89a8085c5cf0620a21da50ebebfe0cd0
