scenario_id,pack,system_id,prompt_lane,planned_attempts,retained_attempts,public_passes,hidden_passes,false_greens,any_hidden_pass,all_retained_hidden_pass,cell_status
docs_cli_sync,maintenance_value,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
docs_cli_sync,maintenance_value,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
docs_cli_sync,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
docs_cli_sync,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
env_bool_parser,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
env_bool_parser,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
env_bool_parser,ci_forensics,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
env_bool_parser,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
env_bool_parser,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
env_bool_parser,ci_forensics,laguna-xs2,sparse,1,1,1,0,1,0,0,all_hidden_fail
env_bool_parser,ci_forensics,north-mini,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
env_bool_parser,ci_forensics,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
explicit_validation_matrix,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
explicit_validation_matrix,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
explicit_validation_matrix,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
explicit_validation_matrix,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
explicit_validation_matrix,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
explicit_validation_matrix,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
feature_rollout_bucket,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
feature_rollout_bucket,product_workflows,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
feature_rollout_bucket,product_workflows,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
feature_rollout_bucket,product_workflows,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
feature_rollout_bucket,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
feature_rollout_bucket,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
fixture_schema_migration,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
fixture_schema_migration,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
fixture_schema_migration,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
fixture_schema_migration,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
fixture_schema_migration,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
fixture_schema_migration,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
generated_openapi_refresh,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
idempotency_key_regression,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
import_hygiene_fix,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
import_hygiene_fix,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
import_hygiene_fix,maintenance_value,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
import_hygiene_fix,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
import_hygiene_fix,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
import_hygiene_fix,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
inventory_reservation_idempotency,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
inventory_reservation_idempotency,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
inventory_reservation_idempotency,product_workflows,gemma4-12b,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
inventory_reservation_idempotency,product_workflows,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
inventory_reservation_idempotency,product_workflows,north-mini,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
inventory_reservation_idempotency,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
logger_warn_migration,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
logger_warn_migration,maintenance_value,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
logger_warn_migration,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
logger_warn_migration,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
logger_warn_migration,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
logger_warn_migration,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
markdown_slug_collision,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
markdown_slug_collision,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
markdown_slug_collision,product_workflows,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
markdown_slug_collision,product_workflows,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
markdown_slug_collision,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
markdown_slug_collision,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
mutable_default_leak,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
mutable_default_leak,ci_forensics,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
mutable_default_leak,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
pagination_cursor_drift,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
pagination_cursor_drift,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
regression_test_gap,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
search_ranking_stability,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
search_ranking_stability,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
search_ranking_stability,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
search_ranking_stability,product_workflows,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
search_ranking_stability,product_workflows,north-mini,contract_visible,1,1,0,0,0,0,0,mixed
search_ranking_stability,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
silent_exception_swallower,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
silent_exception_swallower,product_workflows,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
silent_exception_swallower,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
silent_exception_swallower,product_workflows,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
silent_exception_swallower,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
silent_exception_swallower,product_workflows,north-mini,sparse,1,1,0,0,0,0,0,mixed
stale_generated_schema,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
stale_generated_schema,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
support_sla_business_hours,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
support_sla_business_hours,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
support_sla_business_hours,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
support_sla_business_hours,product_workflows,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
support_sla_business_hours,product_workflows,north-mini,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
support_sla_business_hours,product_workflows,north-mini,sparse,1,1,0,0,0,0,0,mixed
tenant_cache_leak,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
tenant_cache_leak,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
tenant_cache_leak,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
timezone_ci_only,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
timezone_ci_only,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
utcnow_timezone_migration,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
utcnow_timezone_migration,maintenance_value,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
utcnow_timezone_migration,maintenance_value,gemma4-12b,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
utcnow_timezone_migration,maintenance_value,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
utcnow_timezone_migration,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
utcnow_timezone_migration,maintenance_value,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,gemma4-12b,sparse,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
webhook_signature_raw_body,product_workflows,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
